Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
X,Completely Locked,06/22/2020 10:29:17 AM,X244,X244,,Reopened,false,Not Applicable,W. 181 St. bet. Grand Ave. and Davidson,Grand Playground,POINT (1009894.4112975601 251097.3771198988),Adults not allowed in some locations,X244-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
X,Completely Locked,06/22/2020 11:14:47 AM,X214,X214,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Olinville Ave. at Rosewood St.,Magenta Playground,POINT (1020796.7418550551 257534.7018436491),Adults Allowed,X214-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-12
M,Completely Locked,06/23/2020 09:14:23 AM,M283,M283-01,,Reopened,,,,Nelson Rockefeller Park Playground North,POINT (979937.8186518103 200895.5273925662),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
X,Completely Locked,06/22/2020 11:09:38 AM,X121,X121,,Reopened,false,Not Applicable,Bradford Ave. bet. La Salle Ave. and Waterbury Ave.,Bufano Park,POINT (1031037.8919763861 244575.5036807209),Adults Allowed,X121-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,210,X-10
B,Completely Locked,06/23/2020 10:08:49 AM,B287,B287,,Reopened,,,,Andries Playground,POINT (999114.1136324704 166195.8746791482),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,314,B-14
X,Completely Locked,06/22/2020 10:18:37 AM,X010A,X010A-02,,Reopened,false,Not Applicable,E 175 St & Arthur Ave,Tremont Plgd (2),POINT (1013420.878982142 246945.7108825594),Adults Allowed,X010A-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,206,X-06
B,Completely Locked,06/22/2020 04:19:50 PM,B118B,B118B,true,Reopened,,,,St. Mary's Park,POINT (985020.540201388 185718.3747943244),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
Q,Completely Locked,06/21/2020 06:41:49 PM,Q305,Q305,,Reopened,false,Not Applicable,65 Pl. bet. Shaler Ave. and the rail yards,Mafera Park,POINT (1014421.116811052 196420.2000571489),Adults Allowed,Q305-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
Q,Completely Locked,06/21/2020 11:14:48 AM,Q020,Q020-01,,Reopened,false,Not Applicable,Jamaica Ave & Elton St,Lower Highland Playground,POINT (1015980.84203805 188521.1712358147),Unknown,Q020-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:14:45 AM,305,Q-05A
M,Completely Locked,06/22/2020 03:31:59 PM,M071,M071-37,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"W 112-113 Sts, Riverside Dr",Tot Lot One Hundred And Twelve,POINT (993128.1397120507 233094.3793333173),Unknown,M071-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
B,Completely Locked,06/22/2020 03:35:50 PM,B267,B267,,Reopened,false,Not Applicable,Winthrop St. between Rogers Ave. and Bedford Ave.,Winthrop Playground,POINT (996794.0470783858 178484.0459688902),Adults Allowed,B267-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,309,B-09
B,Completely Locked,06/22/2020 01:39:23 PM,B236,B236,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ralph Ave. and Farragut Rd.,Glenwood Playground,POINT (1006398.3940113931 171184.4805155545),Adults Allowed,B236-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
B,Completely Locked,06/22/2020 01:55:05 PM,B129,B129-01,,Reopened,,,,Leon S Kaiser Playground,POINT (985540.9245715588 149929.0266354829),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,313,B-13
